NOMBRE;SEXO;ORIGEN;SIGNIFICADO
ADENA;F;S/O;S/S
ADERES;M;S/O;S/S
ADERITO;M;S/O;S/S
ADHELMA;F;S/O;S/S
ADHEMAR;M;S/O;S/S
ADI;M;S/O;S/S
ADIB;M;S/O;S/S
ADIEL;M;HEBREO;ADORNADO POR DIOS, PERSONAJE BIBLICO, DES-CENDIENTE DE SIMEON
ADIL;M;S/O;S/S
ADILA;F;S/O;S/S
ADILSON;M;S/O;S/S
ADINA;F;S/O;S/S
ADIRAN;M;S/O;S/S
ADITA;F;S/O;S/S
ADITARDO;M;S/O;S/S
ADITI;F;S/O;S/S
ADIVA;F;S/O;S/S
ADLAI;M;S/O;S/S
ADLEY;M;S/O;S/S
ADMON;M;S/O;S/S
ADO;M;S/O;S/S
ADOLFINA;F;S/O;S/S
ADOLFO;M;GODO;"EL QUE ESTA AVIDO DE NOBLEZA.MUY USADO EN-TRE LOS MUSULMANES COMO NOMBRE EXOTICO, OLF-ULF""LOBO"" Y ADEL""ANTIGUO""""NOBLE"", PATRONIMICO DE VARON."
ADOLPH;M;S/O;S/S
ADON;M;S/O;S/S
ADONAI;M;HEBREO;SEÑOR MIO
ADONCIA;F;S/O;S/S
ADONIA;F;S/O;S/S
ADONIS;M;FENICIO;S/S
ADORA;F;S/O;S/S
ADORACION;F;LATINO;NOMBRE MISTICO
ADORINDA;F;S/O;S/S
ADREW;M;S/O;S/S
ADRIA;F;S/O;S/S
ADRIAN;M;GERMANICO;AVIDO DE NOBLEZA, VARIANTE DE ADOLFO, SAN ADULFO, NACIO EN SEVILLA DE PADRE MUSULMAN Y MADRE CRISTIANA
ADRIANA;F;LATINO;S/S
ADRIANO;M;S/O;S/S
ADRIEL;M;S/O;S/S
ADRIENNE;F;S/O;S/S
ADRINE;F;S/O;S/S
ADRIO;M;S/O;S/S
ADRION;M;S/O;S/S
ADULFO;M;S/O;S/S
ADVENTOR;M;S/O;S/S
ADY;F;S/O;S/S
ADYUTO;M;S/O;S/S
ADYUTOR;M;S/O;S/S
AENEAS;M;S/O;S/S
AFFRICA;F;S/O;S/S
AFIA;M;S/O;S/S
AFIANO;M;S/O;S/S
AFIF;A;S/O;S/S
AFRA;F;LATINO;UNA MARTIR DE BRESCIA EN EL SIGLO II
AFRAATES;M;S/O;S/S
AFRIC;F;S/O;S/S
AFRICA;A;S/O;S/S
AFRICANO;M;S/O;S/S
AFRIDES;M;S/O;S/S
AFRIKA;F;S/O;S/S
AFRODISIO;M;GRIEGO;DE ESPUMA EN EL SANTORAL HAY UN MARTIREGIPCIO DEL SIGLO I
AFRODITA;F;S/O;S/S
AFTON;M;S/O;S/S
AFTONIO;M;S/O;S/S
AGABE;M;S/O;S/S
AGABIO;M;S/O;S/S
AGABO;M;S/O;S/S
AGAPE;F;S/O;S/S
AGAPIO;M;S/O;S/S
AGAPITO;M;GRIEGO;DIGNO DE SER AMADO, CORRESPONDE SEMANTICAMENTE A AMADO, DAVID Y LIOBA.
AGAR;F;HEBREO;"DERIVADO DEL ARABE ""HUIR"", SERIA UN NOM-BRE SIMBOLICO, PUES LA AGAR BIBLICA, CONCUBINA DE ABRAHAM, SE VIO OBLIGA-DA A HUIR AL DESIERTO, LA QUE SE FUGO."
AGATA;F;S/O;S/S
AGATANGELO;M;S/O;S/S
AGATE;A;S/O;S/S
AGATHA;F;S/O;S/S
AGATOCLIA;F;S/O;S/S
AGATODORO;M;S/O;S/S
AGATON;M;GRIEGO;BUENO, PAPA DEL SIGLO VII
AGATONICA;F;S/O;S/S
AGATONICO;M;S/O;S/S
AGATOPODES;M;S/O;S/S
AGATOPODO;M;S/O;S/S
AGEO;M;S/O;S/S
AGERICO;M;S/O;S/S
AGGIE;F;S/O;S/S
AGHAVNI;F;S/O;S/S
AGILBERTO;M;S/O;S/S
AGILEO;M;S/O;S/S
AGLAE;F;GRIEGO;LA ESPLENDOROSA
AGLIBERTO;M;S/O;S/S
AGNANO;M;S/O;S/S
AGNELO;M;LATINO;REFERENTE AL CORDERO DE DIOS
AGNES;F;S/O;S/S
AGNESE;F;S/O;S/S
AGNETHA;F;S/O;S/S
AGNEW;M;S/O;S/S
AGOARDO;M;S/O;S/S
AGOP;M;S/O;S/S
AGOSTINA;F;S/O;S/S
AGOSTINO;M;S/O;S/S
AGRICIO;M;S/O;S/S
AGRICOLA;M;S/O;S/S
AGRIPA;M;S/O;S/S
AGRIPINA;F;LATINO;S/S
AGRIPINO;M;S/O;S/S
AGUACLARA;F;S/O;S/S
AGUEDA;F;GRIEGO;BUENA, LA VIRTUOSA, VIRGEN SICILIANA DEL SIGLO III, MARTIRIZADA EN CATANIA
AGURI;M;S/O;S/S
AGUSTI;M;S/O;S/S
AGUSTIN;M;S/O;S/S
AGUSTINA;F;S/O;S/S
AGUSTINO;M;S/O;S/S
AHARON;M;S/O;S/S
AHAVA;F;S/O;S/S
AHEARN;M;S/O;S/S
AHIAN;M;S/O;S/S
AHILTON;M;S/O;S/S
AHMAD;M;S/O;S/S
AHMED;M;S/O;S/S
AHMIK;M;S/O;S/S
AIAD;A;S/O;S/S
AIAKO;F;S/O;S/S
AIALA;F;S/O;S/S
AICARDO;M;S/O;S/S
AICHA;F;S/O;S/S
AIDA;F;LATINO;LA QUE VIENE DE FAMILIA DISTINGUIDA, NOM-BRE FORJADO POR EL LIBRETISTA PIAVE (1869) PARA LA PROTAGONISTA DE LAHOMONIMA OPERA DE VERDI
AIDAN;M;S/O;S/S
AIDANO;M;S/O;S/S
AIDE;F;S/O;S/S
AIEL;M;S/O;S/S
AIELET;F;S/O;S/S
AIEN;A;S/O;S/S
AIGULFO;M;S/O;S/S
AIKE;A;S/O;S/S
AIKEN;F;S/O;S/S
AIKO;F;S/O;S/S
AILA;F;S/O;S/S
AILEEN;F;S/O;S/S
AILEN;F;S/O;S/S
AILIN;F;S/O;S/S
AILISH;F;S/O;S/S
AILLA;F;S/O;S/S
AILSA;F;S/O;S/S
AIMAR;M;S/O;S/S
AIMARA;F;S/O;S/S
AIMARDO;M;S/O;S/S
AIME;F;S/O;S/S
AIMEE;F;S/O;S/S
AIMERY;M;S/O;S/S
AIMI;F;S/O;S/S
AIMIE;F;S/O;S/S
AIN;A;S/O;S/S
AINA;F;S/O;S/S
AINAO;A;S/O;S/S
AINARA;F;S/O;S/S
AINE;F;S/O;S/S
AINHOA;F;S/O;S/S
AINSLEY;F;S/O;S/S
AINSLIE;M;S/O;S/S
AIOSHA;M;S/O;S/S
AIRLIA;F;S/O;S/S
AISCHA;F;S/O;S/S
AISHA;F;S/O;S/S
AISLING;F;S/O;S/S
AISLINN;F;S/O;S/S
AISSATOU;F;S/O;S/S
AITALAS;M;S/O;S/S
AITANA;F;S/O;S/S
AITIANA;F;S/O;S/S
AITOR;M;S/O;S/S
AIXA;F;ARABE;LA ELEGIDA POR EL MAXIMO
AIYANA;F;S/O;S/S
AJANI;M;S/O;S/S
AJAY;M;S/O;S/S
AKAGI;M;S/O;S/S
AKANE;F;S/O;S/S
AKANKE;F;S/O;S/S
AKARI;A;S/O;S/S
AKASMA;F;S/O;S/S
AKBAR;M;S/O;S/S
AKELA;F;S/O;S/S
AKEMI;F;S/O;S/S
AKI;M;S/O;S/S
AKIKO;F;S/O;S/S
AKIL;M;S/O;S/S
AKILAH;A;S/O;S/S
AKILINA;A;S/O;S/S
AKINA;F;S/O;S/S
AKIO;M;S/O;S/S
AKIRA;M;S/O;S/S
AKIVA;M;S/O;S/S
AKSEL;M;S/O;S/S
AL;M;S/O;S/S
ALAA;F;S/O;S/S
ALACIEL;M;S/O;S/S
ALADDIN;M;S/O;S/S
ALADINO;M;ARABE;SUBLIMIDAD DE LA FE, POSEEDOR DE LA LAMPARAMILAGROSA, PERSONAJE DE LAS MIL Y UNA NOCHE, EL QUE ALCANZO LA CUMBREDEL SABER RELIGIOSO
ALAHI;F;S/O;S/S
ALAIA;F;S/O;S/S
ALAIDE;F;S/O;S/S
ALAIN;M;S/O;S/S
ALAIR;M;S/O;S/S
ALALA;F;S/O;S/S
ALAN;M;GERMANICO;VARIANTE ANGLICIZANTE DE ALANO
ALANA;F;CELTA;"DEL CELTICO""ALUN"", ARMONIA"
ALANI;F;S/O;S/S
ALANIS;F;S/O;S/S
ALANNA;F;S/O;S/S
ALANO;M;CELTA;"DEL CELTICO""ALUN"", ARMONIA"
ALAOR;M;S/O;S/S
ALAQUA;F;S/O;S/S
ALARIC;M;S/O;S/S
ALARICO;M;S/O;S/S
ALASTAIR;M;S/O;S/S
ALAURA;F;S/O;S/S
ALAVDA;F;S/O;S/S
ALAYA;F;S/O;S/S
ALAYDE;F;S/O;S/S
ALAYN;M;S/O;S/S
ALBA;F;LATINO;S/S
ALBAN;M;S/O;S/S
ALBANA;F;LATINO;S/S
ALBANO;M;LATINO;S/S
ALBAR;M;S/O;S/S
ALBEN;M;S/O;S/S
ALBERICO;M;S/O;S/S
ALBERT;M;S/O;S/S
ALBERTA;F;S/O;S/S
ALBERTINA;F;S/O;S/S
ALBERTO;M;GERMANICO;"BRILLANTE POR SU NOBLEZA, CONTRACCION DE ADALBERTO ""ALL"""
ALBIDA;F;S/O;S/S
ALBIN;M;S/O;S/S
ALBINA;F;LATINO;S/S
ALBINKA;F;S/O;S/S
ALBINO;M;LATINO;S/S
ALBUINO;M;S/O;S/S
ALCANDER;M;S/O;S/S
ALCEO;M;GRIEGO;ROBUSTO-NOMBRE QUE RECIBIO HERCULES AL NACER EN EL RECUERDO DE SU ABUELO
ALCIA;F;S/O;S/S
ALCIBIADES;M;GRIEGO;GENEROSO Y VIOLENTO-NOMBRE DEL POLITICO Y GUERRERO ATENIENSE DISCIPULO DE SOCRATES (SIGLO V).
ALCIDES;M;GRIEGO;EL FUERTE Y VIGOROSO, UNO DE LOS NOMBRESDE HERCULES
ALCINA;F;S/O;S/S
ALCIRA;F;TEUTON;S/S
ALCMENA;F;GRIEGO;HIJA DE ELECTRION, REY DE MICENAS Y NIETADE PERSEO-ESPOSA FIEL DE ANFITRION, A PESAR DE QUE ZEUS SE ENAMORO DEELLA.-FUERZA, AYUDA, DEFENSA, LA MADRE DE HERCULES
ALCOTT;A;S/O;S/S
ALDA;F;GERMANICO;EXPERIMENTADA, LA MAS BELLA.
ALDABEL;F;S/O;S/S
ALDABELLA;F;S/O;S/S
ALDAIR;M;S/O;S/S
ALDAN;M;S/O;S/S
ALDANA;F;HISPANICO;NOMBRE DE MUJER COMPUESTO.
ALDARA;F;S/O;S/S
ALDEA;F;S/O;S/S
ALDEGUNDA;F;S/O;S/S
ALDELMO;M;S/O;S/S
ALDEMAR;M;S/O;S/S
ALDEN;M;S/O;S/S
ALDER;M;S/O;S/S
ALDERCY;F;S/O;S/S
ALDERICO;M;S/O;S/S
ALDEVAR;M;S/O;S/S
ALDINA;F;S/O;S/S
ALDO;M;TEUTON;S/S
ALE;A;S/O;S/S
ALEA;F;S/O;S/S
ALEANDRO;M;S/O;S/S
ALEARDO;M;S/O;S/S
ALEC;M;S/O;S/S
ALECIO;M;S/O;S/S
ALEEZA;F;S/O;S/S
ALEGRA;F;LATINO;S/S
ALEGRE;F;S/O;S/S
ALEGRIA;F;S/O;S/S
ALEIDA;F;S/O;S/S
ALEIX;M;S/O;S/S
ALEJANDRA;F;S/O;S/S
ALEJANDRINA;F;S/O;S/S
ALEJANDRO;M;GRIEGO;S/S
ALEJO;M;GRIEGO;PROTECTOR-DEFENSOR-VENCEDOR-QUE PROTEJE YDEFIENDE, PASO AL LATIN Y LUEGO A LAS LENGUAS ROMANCES, SAN ALEJO ES UNSANTO FAMOSO EN RUSIA EN EL SIGLO IV
ALEK;M;S/O;S/S
ALEKA;F;S/O;S/S
ALEKSAN;M;S/O;S/S
ALEKSANDER;M;S/O;S/S
ALEKSANDRA;F;S/O;S/S
ALEKSEY;M;S/O;S/S
ALEKSY;M;S/O;S/S
ALELI;F;S/O;S/S
ALELIA;F;S/O;S/S
ALEM;M;S/O;S/S
ALEN;A;S/O;S/S
ALENA;F;S/O;S/S
ALENKA;F;S/O;S/S
ALERON;M;S/O;S/S
ALESANDRA;F;S/O;S/S
ALESANDRO;M;S/O;S/S
ALESER;M;S/O;S/S
ALESIA;F;S/O;S/S
ALESIO;M;S/O;S/S
ALESSANDRA;F;S/O;S/S
ALESSANDRO;M;S/O;S/S
ALESSIA;F;S/O;S/S
ALESSIO;M;S/O;S/S
ALETA;F;S/O;S/S
ALETHEA;F;S/O;S/S
ALETHIA;F;GRIEGO;REPRESENTABA A LA VERDAD EN LA MITOLOGIAGRIEGA
ALETTA;F;S/O;S/S
ALEX;M;INGLES;"ABREVIATURA DE ""ALEXANDER"""
ALEXA;F;S/O;S/S
ALEXAN;M;S/O;S/S
ALEXANDER;M;S/O;S/S
ALEXANDRA;F;S/O;S/S
ALEXANDRE;M;S/O;S/S
ALEXANDRIA;F;S/O;S/S
ALEXANDRINA;F;S/O;S/S
ALEXANDRO;M;S/O;S/S
ALEXANDROS;M;S/O;S/S
ALEXEEV;M;S/O;S/S
ALEXEI;M;S/O;S/S
ALEXEY;M;S/O;S/S
ALEXIA;F;GRIEGO;S/S
ALEXINA;F;S/O;S/S
ALEXIO;M;S/O;S/S
ALEXIS;M;S/O;S/S
ALEY;A;S/O;S/S
ALEYA;F;S/O;S/S
ALFA;M;S/O;S/S
ALFEO;M;GRIEGO;RIO DEL PELOPONESO, EN ARCADIA, HIJO DELOCEANO Y TETIS, PADRE DEL APOSTOL SANTIAGO
ALFIERI;M;S/O;S/S
ALFIO;M;GRIEGO;"BLANCO-MANCHA BLANCA DE LA PIEL, RAIZ INDOEUROPEA, ""ALBH"", LA MISMA DE ""ALBUS"" LATINO Y DE ""ALBH"".HORACIO MENCIONAEL II EPDO A UN USURERO LLAMADO ALFIO"
ALFONSA;F;S/O;S/S
ALFONSINA;F;GERMANICO;S/S
ALFONSO;M;GERMANICO;NOBLE GUERRERO, NOBLE Y LISTO PARA COMBATIR, NOMBRE DE LOS REYES ESPAÑOLES DESDE ALFONSO I
ALFRED;M;S/O;S/S
ALFREDO;M;GERMANICO;CONSEJO DE LOS ELFOS.LOS ELFOS SON LOSDUENDES DE LA MITOLOGIA ESCANDINAVA, EL CONSEJERO PODEROSO, ENEMIGO DELA GUERRA Y AMIGO DE LA PAZ.
ALGAR;M;S/O;S/S
ALGER;M;S/O;S/S
ALGERICO;M;S/O;S/S
