NOMBRE;SEXO;ORIGEN;SIGNIFICADO
CUTMANO;M;ANGLOSAJON;EL HOMBRE QUE TIENE BUENA FAMA
CUYEN;A;S/O;S/S
CYBELE;F;S/O;S/S
CYBILL;F;S/O;S/S
CYD;A;S/O;S/S
CYNARA;F;S/O;S/S
CYNDI;F;S/O;S/S
CYNRIC;M;S/O;S/S
CYNTHIA;F;S/O;S/S
CYNTIA;F;S/O;S/S
CYPRIEN;M;S/O;S/S
CYRANO;M;S/O;S/S
CYRENE;F;S/O;S/S
CYRIL;M;S/O;S/S
CYRILLA;F;S/O;S/S
CYRUS;M;S/O;S/S
CYTHERIA;F;S/O;S/S
CYEN;F;S/O;S/S
DABRIA;F;S/O;S/S
DACEY;A;S/O;S/S
DACIANO;M;S/O;S/S
DACIL;F;S/O;S/S
DACIO;M;LATINO;"DEL LATIN ""DACIUS"", DERIVA DE ""DATUS"", ELQUR VINO DE DACIA-MARTIR DAMASCENO AFRICANO"
DADAS;M;S/O;S/S
DAFNA;F;S/O;S/S
DAFNE;F;GRIEGO;NINFA ARCADIA, HIJA DEL RIO LADON O TASA-LIA, LAUREL, QUE ESTA CORONADA DE LAURELES
DAFROSA;F;S/O;S/S
DAG;M;S/O;S/S
DAGAN;M;S/O;S/S
DAGMA;F;S/O;S/S
DAGMAR;F;S/O;S/S
DAGNY;F;S/O;S/S
DAGO;M;S/O;S/S
DAGOBERTO;M;GODO;"DE ""DAGOBERT"", EL QUE BRILLA COMO EL DIA, QUERESPLANDECE COMO EL SOL, SAN DAGOBERTO, REY DE AUSTRASIA Y MARTIR DELSIGLO VII"
DAHLIA;F;S/O;S/S
DAI;F;S/O;S/S
DAIAN;M;S/O;S/S
DAIANA;F;S/O;S/S
DAIARA;F;S/O;S/S
DAIEN;M;S/O;S/S
DAILA;F;S/O;S/S
DAIMI;F;S/O;S/S
DAINA;F;S/O;S/S
DAIRA;F;GRIEGO;LLENA DE SABIDURIA.
DAISY;F;S/O;S/S
DAKIA;F;S/O;S/S
DAKOTA;A;S/O;S/S
DALAL;F;S/O;S/S
DALAN;M;S/O;S/S
DALE;A;S/O;S/S
DALIA;F;S/O;NOMBRE DE FLOR MEXICANA-ESE NOMBRE FUE COLOCADO POR ELBOTANICO ESPAÑOL CAVANILLES PARA EXALTAR A SU COLEGA SUECO DAHL (1786)PROPIAMENTE DAHLIA. DAHL A SU VEZ SIGNIFICA VALLE EN SUECO
DALILA;F;HEBREO;RIZO ONDULADO, DELICADA, DE PIEL DELICADATIERNA, FUE LA AMANTE DE SANSON AL QUE CON TENAZ INSISTENCIA ARRANCO ELSECRETO DE SU FUIERZA
DALINA;F;S/O;S/S
DALINDA;F;S/O;S/S
DALLAS;A;S/O;S/S
DALMA;F;S/O;S/S
DALMACIO;M;LATINO;"DEL LATINO ""DALMATIUS""ORIGINARIO DE DALMACIA, EL PINTADO, UN OBISPO DE PAVIA EN EL SIGLO IV"
DALMIRA;F;S/O;S/S
DALMIRO;M;TEUTON;EL QUE ES ILUSTRE POR SU NOBLEZA-AFERESISDE ADALMIRO, VARIANTE DE ADELMARO
DALTON;M;S/O;S/S
DALY;M;S/O;S/S
DAMALIS;M;S/O;S/S
DAMARA;F;S/O;S/S
DAMARIS;F;S/O;S/S
DAMASIA;F;S/O;S/S
DAMASO;M;GRIEGO;DOMADOR-EL HABIL DOMADOR-SAN DAMASO, PAPADEL SIGLO IV
DAMEK;M;S/O;S/S
DAMEN;M;S/O;S/S
DAMIAN;M;GRIEGO;EL QUE DOMA-DOMADOR-EL HOMBRE DEL PUEBLOEL QUE SALIO DE LA GENTE-HERMANO DE SAN COSME-MARTIR DEL SIGLO III
DAMIANA;F;GRIEGO;S/S
DAMIR;M;S/O;S/S
DAMON;M;S/O;S/S
DAN;M;HEBREO;EL QUE SALE A JUZGAR,  EL JUEZ-HIJO DEJACOB Y DE BILHA (ESCLAVA DE RAQUEL)
DANA;F;S/O;S/S
DANAE;F;GRIEGO;ARIDO-SECO-ES EL NOMBRE MISTICO DE LA TIERRA ARIDA CUYA UNION CON LA LLUVIA ESTA SIMBOLIZADA EN LA FABULA-HIJADE ACRISIO, REY DE ARGOS Y DE EURIDICE
DANAH;F;S/O;S/S
DANE;M;S/O;S/S
DANEL;M;S/O;S/S
DANESA;F;S/O;S/S
DANETT;F;S/O;S/S
DANI;F;S/O;S/S
DANIA;F;S/O;S/S
DANICA;F;S/O;S/S
DANIEL;M;HEBREO;DIOS ES MI JUEZ-PROCEDIA DE UNA NOBLE FAMILIA DE JUDA Y SEGUN FLAVIO JOSEFO ERA DE SANGRE REAL, UN ANACORETA CATALAN, MARTIR EN GERONA (SIGLO IX)
DANIELA;F;S/O;S/S
DANIELLE;F;S/O;S/S
DANILA;F;S/O;S/S
DANILO;M;S/O;"VARIANTE SERVIOCROATA DE DANIEL, DEBE SU USO EN LOS PAISESHISPANOS AL PERSONAJE DE ""LA VIUDA ALEGRE"" (EL CONDE DANILO)"
DANIMIRO;M;S/O;S/S
DANISA;F;S/O;S/S
DANIT;F;S/O;S/S
DANITZA;F;S/O;S/S
DANKO;M;S/O;S/S
DANNA;F;S/O;S/S
DANNY;M;S/O;S/S
DANTE;M;GERMANICO;EL QUE DA, EL QUE OFRECE, CONTRACCIONDEL ANTIGUO DURANTE, EL DE CARACTER FIRME.
DANTZEL;F;S/O;S/S
DANYA;F;S/O;S/S
DAPHNE;F;S/O;S/S
DARA;F;S/O;S/S
DARBY;M;S/O;S/S
DARCIEL;M;S/O;S/S
DARCY;A;S/O;S/S
DARDO;M;GRIEGO;ASTUTO-HABIL
DAREK;M;S/O;S/S
DAREN;M;S/O;S/S
DARIA;F;S/O;S/S
DARIAN;M;S/O;S/S
DARIEL;M;S/O;S/S
DARIEN;M;S/O;S/S
DARIN;M;S/O;S/S
DARIO;M;PERSA;EL REFRENADOR, EL QUE PROTEGE CONTRA EL MALREY PERSA QUE PERMITIO A LOS JUDIOS PROSEGUIR LA CONSTRUCCION DEL TEM-PLO EN JERUSALEM, SAN DARIO MARTIR EN NICEA (SIGLO IV)
DARKO;M;S/O;S/S
DARLA;F;S/O;S/S
DARLENE;F;S/O;S/S
DARNELL;M;S/O;S/S
DARREL;M;S/O;S/S
DARREN;M;S/O;S/S
DARRIN;M;S/O;S/S
DARRION;M;S/O;S/S
DARRYL;M;S/O;S/S
DARSHAN;M;S/O;S/S
DARYL;A;S/O;S/S
DASHA;F;S/O;S/S
DASIO;M;S/O;S/S
DATIVA;F;S/O;S/S
DATIVO;M;LATINO;"DEL LATIN ""DATIVUS"", TERMINO DEL DERECHO ROMANO QUE SE APLICA A LOS TUTORES, PERTENECIENTE AL DAR"
DATO;M;LATINO;"DEL LATIN ""DATUS"", DADO, CORRESPONDE A DONATO, RAIZ INDOEUROPEA ""DO""DAR, SAN DATO, OBISPO DE RAVENA DEL SIGLO II"
DAVAN;F;S/O;S/S
DAVE;M;S/O;S/S
DAVI;M;S/O;S/S
DAVID;M;HEBREO;EL AMADO POR DIOS, HIJO MENOR DE ISAJ OJESE, CABEZA DE TRIBU, VENERADO COMO SANTO EN LA IGLESIA CATOLICA.
DAVIDA;F;S/O;S/S
DAVIN;M;S/O;S/S
DAVINA;F;S/O;S/S
DAVINE;F;S/O;S/S
DAVINO;M;S/O;S/S
DAVIS;M;S/O;S/S
DAVOR;M;S/O;S/S
DAWN;F;S/O;S/S
DAYA;F;S/O;S/S
DE ARANZAZU;F;S/O;S/S
DE DIOS;M;S/O;S/S
DE FATIMA;F;S/O;S/S
DE JESUS;A;S/O;S/S
DE LA CRUZ;A;S/O;S/S
DE LA ESPERANZA;F;S/O;S/S
DE LA FLOR;F;S/O;S/S
DE LA MERCED;A;S/O;S/S
DE LA PAZ;A;S/O;S/S
DE LAS MERCEDES;F;S/O;S/S
DE LAS NIEVES;F;S/O;S/S
DE LOS ANGELES;F;S/O;S/S
DE LOS MILAGROS;F;S/O;S/S
DE LOURDES;F;S/O;S/S
DE LUJAN;A;S/O;S/S
DEACON;M;S/O;S/S
DEAN;M;S/O;S/S
DEANDRA;F;S/O;S/S
DEBBIE;F;S/O;S/S
DEBORA;F;HEBREO;ABEJA
DEBORAH;F;S/O;S/S
DEBRA;F;S/O;S/S
DECIO;M;LATINO;DERIVADO DE UNA GENS ROMANA (EQUIVALE ADECIMO), SAN DECIO, MARTIR ITALIANO DEL SIGLO IV
DECKER;M;S/O;S/S
DECOROSO;M;LATINO;"DEL LATIN ""DECOROSUS"" DERIVADO DE""DECORUS""QUE ESTA BIEN, CONVENIENTE-PROCEDE DE ""DECET""CONVIENE COMODECENTE, DIGNO, SAN DECOROSO, OBISPO DE CAPUA EN EL SIGLO VII"
DEDALO;M;GRIEGO;HIJO DE ALCIPE, UNA NIETA DE CRECOPE, ELQUE ES HABIL ARTISTA- HABIL
DEE;F;S/O;S/S
DEIAN;M;S/O;S/S
DEIANIRA;F;S/O;S/S
DEICOLA;M;LATINO;"DEL LATIN ""DEICOLA"", DE DEUS(DIOS) Y ""COLOCULTIVAR, MORAREL QUE CULTIVA A DIOS, SAN DEICOLA, ABAD BRETON DISCIPULODE SAN COLUMBANO"
DEIDAMIA;F;GRIEGO;LA QUE COMBATE CON PACIENCIA
DEKA;F;S/O;S/S
DEKEL;M;S/O;S/S
DEL CARMEN;A;S/O;S/S
DEL CIELO;A;S/O;S/S
DEL CORAZON DE JESUS;A;S/O;S/S
DEL MAR;F;S/O;S/S
DEL MILAGRO;A;S/O;S/S
DEL PILAR;F;S/O;S/S
DEL ROCIO;A;S/O;S/S
DEL ROSARIO;A;S/O;S/S
DEL SAGR.C.DE JESUS;A;S/O;S/S
DEL SAGRADO CORAZÓN;A;S/O;S/S
DEL SOCORRO;F;S/O;S/S
DEL SOL;F;S/O;S/S
DEL SOLAR;A;S/O;S/S
DEL VALLE;A;S/O;S/S
DELANEY;F;S/O;S/S
DELANO;M;S/O;S/S
DELBERT;M;S/O;S/S
DELEANDRA;F;S/O;S/S
DELFIN;M;GRIEGO;DE FORMAS GRACILES Y BELLAS-EN LA MITOLOGIA GRIEGA ERA EL DRAGON QUE GUARDABA EL ORACULO DE DELFOS-OBISPO DEBURDEUS, SIGLO IV
DELFINA;F;S/O;S/S
DELFINO;M;S/O;VARIEDAD DE DELFIN
DELFOR;M;GRIEGO;VENIDO DE DELFOS, VARIACION DE DELFIN
DELIA;F;GRIEGO;DE LA ISLA DE DELOS, SOBRENOMBRE DE ARTEMISA (DIANA), POR HABER NACIDO AL IGUAL QUE SU HERMANO APOLO EN LA ISLADE DELOS, UNA DE LAS CICLADAS, LA DIVINA, VARIEDAD DE DIANA
DELICIA;F;LATINO;"DEL LATIN ""DELICIA"", DELEITARSE"
DELILA;F;S/O;S/S
DELILAH;F;S/O;S/S
DELLA;F;S/O;S/S
DELMA;F;S/O;S/S
DELPHINE;F;S/O;S/S
DELSIE;F;S/O;S/S
DELSIN;M;S/O;S/S
DELTA;F;S/O;S/S
DELU;F;S/O;S/S
DELVIS;F;S/O;S/S
DEMAN;M;S/O;S/S
DEMETRIA;F;S/O;S/S
DEMETRIO;M;GRIEGO;PERTENECIENTE A DEMETER (MADRE DE LA TIE-RRA), NOMBRE PROPIO DE 4 PERSONAS BIBLICAS, ENTRE LOS SANTOS DE ESTE NOMBRE SE ENCUENTRA EL PROCONSUL ROMANO MARTIR DEL SIGLO IV
DEMETRIUS;M;S/O;S/S
DEMIAN;M;S/O;S/S
DEMOCRITO;M;GRIEGO;ESCOGIDO POR EL PUEBLO, JUEZ, ARBITRO DELPUEBLO, ILUSTRE FILOSOFO GRIEGO DEL SIGLO V A.C.
DEMOFILA;F;GRIEGO;AMIGA DEL PUEBLO GENEROFEMENINO
DEMOSTENES;M;GRIEGO;EL QUE DOMINA AL PUEBLO
DEMPSEY;A;S/O;S/S
DEMPSTER;M;S/O;S/S
DENA;F;S/O;S/S
DENICE;F;S/O;S/S
DENIS;M;S/O;S/S
DENISA;F;S/O;S/S
DENISE;F;S/O;S/S
DENISSE;F;S/O;S/S
DENNIS;M;S/O;S/S
DENVER;A;S/O;S/S
DENZEL;M;S/O;S/S
DEOGRACIA;F;S/O;S/S
DEOGRACIAS;M;S/O;S/S
DEOLINDA;F;S/O;S/S
DER;M;S/O;S/S
DEREK;M;S/O;S/S
DEREX;M;S/O;S/S
DERFUTA;F;S/O;S/S
DERLIS;M;S/O;S/S
DERMOT;M;S/O;S/S
DERORA;F;S/O;S/S
DERRICK;M;S/O;S/S
DERRY;M;S/O;S/S
DESI;M;S/O;S/S
DESIDERIO;M;S/O;S/S
DESIREE;F;S/O;S/S
DESMOND;M;S/O;S/S
DESPINA;F;S/O;S/S
DESTINY;F;S/O;S/S
DEVA;F;S/O;S/S
DEVERELL;A;S/O;S/S
DEVI;F;S/O;S/S
DEVIN;A;S/O;S/S
DEVLIN;M;S/O;S/S
DEVNET;M;S/O;S/S
DEVON;A;S/O;S/S
DEVORAH;F;S/O;S/S
DEVOTA;F;LATINO;"DEL LATIN ""DEVOTA"", CONSAGRADA, FIEL A DIOSSANTA PATRONA DE MONACO CUYA FIESTA SE CELEBRA EL 27 DE ENERO"
DEWEY;M;S/O;S/S
DEXTER;M;S/O;S/S
DEYANIRA;F;S/O;HERMANA DE MELEAGRO E HIJA DE ALTEA Y ENEO, EL REY DE CALIDONLA DESTRUCTORA DE HOMBRES
DHARMA;F;S/O;S/S
DHARVINDER;A;S/O;S/S
DHEERA;M;S/O;S/S
DHYAN;M;S/O;S/S
DIADEMA;F;S/O;S/S
DIAGO;M;S/O;S/S
DIALLO;M;S/O;S/S
DIAMANTA;F;S/O;S/S
DIAMANTE;F;S/O;S/S
DIAMELA;F;S/O;S/S
DIANA;F;GRIEGO;LA LLENA DE LUZ, LLENA DE DIVINIDAD
DIANA;F;S/O;S/S
DIANE;F;S/O;S/S
DIANELA;F;S/O;S/S
DIANELLA;F;S/O;S/S
DIANNE;F;S/O;S/S
DIANTHE;F;S/O;S/S
DIBA;F;S/O;S/S
DIBE;F;S/O;S/S
DICK;M;S/O;S/S
DICTIMIO;M;S/O;S/S
DIDIER;M;FRANCES;S/S
DIDIMO;M;GRIEGO;DOBLE-GEMELO-REDUPLICATIVO, HERMANO MELLIZOSOBRENOMBRE QUE SE LE DA AL HERMANO TOMAS
DIDIO;M;LATINO;AL QUE DIOS CONCEDIO GRACIA
DIEDERIK;M;S/O;S/S
DIEGO;M;GRIEGO;S/S
DIELLA;F;S/O;S/S
DIETER;M;S/O;S/S
DIGNA;F;LATINO;S/S
DIKRAN;M;S/O;S/S
DILEK;F;S/O;S/S
DILLAN;M;S/O;S/S
DILLON;M;S/O;S/S
DILYS;F;S/O;S/S
DIMAS;M;GRIEGO;S/S
DIMITRI;M;S/O;S/S
DIMPNA;F;IRLANDES;CIERVO PEQUEÑO, VENADITO-SANTA DIMPNA, VIRGEN Y MARTIR DEL SIGLO VII
DINA;F;HEBREO;JUICIO DE DIN, JUZGAR, JUZGADA, FEMENINO DEDAN, NOMBRE DE LA HIJA UNICA DEL PATRIARCA JACOB, VARIEDAD FEMENINA DEDANIEL
DINAH;F;S/O;S/S
DINO;M;S/O;"DIMINUTIVO ITALIANO DE ""BERNARDINO""(FORMADO EN EL ROMANCE"
DINORA;F;ARAMEO;LUZ- NOMBRE POSTBIBLICO, SE ENCUENTRA ENEL ZOHAR Y LA CABALA
DINORAH;F;ARAMEO;LUZ
DIO;A;S/O;S/S
DIOCLECIANO;M;S/O;S/S
DIOCLES;M;GRIEGO;GLORIA DIVINA
DIODORO;M;GRIEGO;DON DE ZEUS, EN LA MITOLOGIA UN NIETO DEHERCULES QUE SOMETIO A MUCHOS PUEBLOS AFRICANOS-EN EL SANTORAL, UN MARTIR ROMANO
DIOGENES;M;GRIEGO;EL GENERADO POR ZEUS, EL QUE VINO AL MUNDOPOR DIOS, FILOSOFO CINICO DE SINOPE
DIOGO;M;S/O;S/S
DIOMEDES;M;GRIEGO;PENSAMIENTO-PLAN-MEDITACION-EL QUE CONFIAEN LA PROTECCION DE DIOS
DIOMID;M;S/O;S/S
DIOMIRA;F;S/O;VARIANTE DE TEODOMIRA
DION;M;GRIEGO;S/S
DIONEL;M;S/O;S/S
DIONISIA;F;S/O;S/S
DIONISIO;M;GRIEGO;S/S
DIONNE;F;S/O;S/S
DIONYSUS;M;S/O;S/S
DIOR;F;S/O;S/S
DIORELLA;F;S/O;S/S
DIOSCORO;M;LATINO;"DE ""DOMINICUS""SEÑOR, NACIDO EN EL DIA DELSEÑOR, SANTO DOMINGO DE GUZMAN COMPAÑERO DE SAN FRANCISCO DE ASIS-QUE ES DEL SEÑOR"
DIOSDADO;M;LATINO;DON DE DIOS-EN EL SANTORAL UN PAPA DELSIGLO VII QUE CURO A UN LEPROSO CON UN BESO
DIOSMA;F;S/O;S/S
DIRCK;M;S/O;S/S
DIRK;M;S/O;S/S
DISA;F;S/O;S/S
DISIBODO;M;S/O;S/S
DITA;F;S/O;S/S
DIVA;F;S/O;S/S
DIVICO;M;S/O;S/S
DIVINA;F;S/O;DE DIVINA PROVIDENCIA, USADO HIPERBOLICAMENTE CON EL SENTIDO DE HERMOSA EN GRADO SUPERLATIVO
DIVNA;F;S/O;S/S
DIXIE;M;S/O;S/S
DIXON;M;S/O;S/S
DMITRI;M;S/O;S/S
DOANE;M;S/O;S/S
DOBRY;M;S/O;S/S
DOELIA;F;S/O;S/S
DOLCE;M;S/O;S/S
DOLLY;F;S/O;S/S
DOLORES;F;S/O;DERIVADO DE DOLEOEXPERIMENTAR DOLOR O SUFRIR, SU ORIGENES MARIA DE LOS DOLORES (POR LOS DOLORES DE LA VIRGEN MARIA), SE HA POPULARIZADO COMO LOLA
DOM;M;S/O;S/S
DOMENICO;M;S/O;S/S
DOMICIANA;F;LATINO;S/S
DOMICIANO;M;LATINO;VARIANTE DE DOMICIO
DOMICIO;M;LATINO;S/S
DOMINGO;M;S/O;S/S
DOMINIC;M;S/O;S/S
DOMINICA;F;S/O;FORMA FEMENINA DE DOMINGO, SANTA DOMINICA-VIRGEN CALABRESADEL SIGLO IV
DOMINICK;M;S/O;S/S
DOMINIQUE;F;S/O;S/S
DOMITILA;F;LATINO;S/S
DOMIZIANA;F;S/O;S/S
DOMMA;F;S/O;S/S
DOMMINA;F;S/O;S/S
DOMNION;M;S/O;S/S
DON;M;S/O;S/S
DONA;F;S/O;S/S
DONAL;M;S/O;S/S
DONALD;M;S/O;S/S
DONALDO;M;CELTICO;PODEROSO EN EL MUNDO, EL QUE GOBIERNA AU-DAZMENTE, EL CAUDILLO AUDAZ-NOMBRE POPULAR ENTRE LOS ESCOCESES
DONARDO;M;S/O;S/S
DONAT;M;S/O;S/S
DONATA;F;S/O;S/S
DONATELLA;F;S/O;S/S
DONATIEN;M;S/O;S/S
DONATILA;F;LATINO;S/S
DONATO;M;LATINO;"DEL LATIN ""DONATUS"", DADO POR DIOS"
DONELLA;F;S/O;S/S
DONINA;F;S/O;S/S
DONNA;F;S/O;S/S
DONNELLY;M;S/O;S/S
DONOVAN;M;S/O;S/S
DORA;F;GRIEGO;FORMA DIMINUTIVA DE DOROTEA, TEODORA, ISIDORA
DORALISA;F;S/O;S/S
DORANA;F;S/O;S/S
DORCAS;F;GRIEGO;GACELA
DORE;F;S/O;S/S
DOREEN;F;S/O;S/S
DORELIA;F;S/O;S/S
DORIAN;M;S/O;S/S
DORIE;F;S/O;S/S
DORINA;F;S/O;S/S
DORINDA;F;S/O;S/S
DORIS;F;GRIEGO;UNA MUCHACHA DORIA, ES DECIR PROCEDENTE DELA DORIDA, NINFA MARINA, ESPOSA DE NEREO Y MADRE DE 50 NEREIDAS
DORLA;F;S/O;S/S
DORON;M;S/O;S/S
DOROTEA;F;GRIEGO;DON DE DIOS, DONADO POR DIOS
DOROTHEA;F;S/O;S/S
DOROTHY;F;S/O;S/S
DORY;A;S/O;S/S
DORZONG;M;S/O;S/S
DOSITEO;M;GRIEGO;DONACION DE DIOS, ES LA POSESION DE DIOS
DOUGAL;M;S/O;S/S
DOUGLAS;M;S/O;S/S
DOUGLASS;M;S/O;S/S
DOV;M;S/O;S/S
DOVBER;M;S/O;S/S
DOYEL;A;S/O;S/S
DOYLE;M;S/O;S/S
DRAKE;M;S/O;S/S
DRAZEN;M;S/O;S/S
DREVER;F;S/O;S/S
DREW;A;S/O;S/S
DRINA;F;S/O;S/S
DROCTOVEO;M;S/O;S/S
DROGON;M;S/O;S/S
DRUSILA;F;S/O;SOBRENOMBRE FMENINO ROMANO DERIVADO DEL NOMBRE CELTA
DRUSILLA;F;S/O;S/S
DRUSO;M;S/O;S/S
DUAM;A;S/O;S/S
DUBIEL;M;S/O;S/S
DUDLEY;M;S/O;S/S
DUENA;F;S/O;S/S
DUFF;M;S/O;S/S
DUGAN;M;S/O;S/S
DUGLAS;M;S/O;S/S
DUHAM;M;S/O;S/S
DUILIO;M;LATINO;LISTO-APRESTADO A COMBATIR
DUKA;F;S/O;S/S
DUKE;M;S/O;S/S
DULA;F;S/O;S/S
DULAS;M;S/O;S/S
DULCE;F;LATINO;"NOMBRE MISTICO ALUSIVO AL DULCE NOMBRE DEMARIA, DEL LATIN ""DULCIS""GRATO-DELEITOSO-TIERNO"
DULCE JESUS;M;S/O;S/S
DULCE MARIA;F;S/O;S/S
DULCEA;F;S/O;S/S
DULCIDIO;M;LATINO;"BAJO LATIN ""DULCIDIO"", DE DULCISDULCE, SAN DULCIDIO, OBISPO DE AGEN EN FRANCIA (SIGLO VII)"
DULCINEA;F;LATINO;"DEL LATIN ""DULCIS""DULCE, QUE TIENE DULZU-RA"
DULIO;M;S/O;S/S
DUMAN;M;S/O;S/S
DUNCAN;M;S/O;S/S
DUNIA;F;S/O;S/S
DUNLOP;M;S/O;S/S
DUNN;M;S/O;S/S
DUNSTAN;M;S/O;S/S
DUNSTANO;M;ANGLOSAJON;"DUNSTAN DE ""DUN""COLINA Y ""STAN""PIEDRA, PIEDRA DE LA COLINA.-SAN DUNSTANO ARZOBISPO DE CANTORBERY (SIGLOMUY VENERADO EN INGLATERRA DURANTE LA EDAD MEDIA"
DURAND;M;S/O;S/S
DUSAN;M;S/O;S/S
DUSCHA;M;S/O;S/S
DUSTIN;M;S/O;S/S
DUSTINE;F;S/O;S/S
DUSTY;M;S/O;S/S
DUTCH;M;S/O;S/S
DWAYNE;M;S/O;S/S
DWIGHT;M;S/O;S/S
DYAN;F;S/O;S/S
DYANI;F;S/O;S/S
DYLAN;M;S/O;S/S
DYLLIS;F;S/O;S/S
DYMAS;M;S/O;S/S
DYMPHNA;F;S/O;S/S
EADBERTO;M;TEUTON;DESTACADO POR SU RIQUEZA
EADMUNDO;M;S/O;S/S
EADOIN;M;S/O;S/S
EALSA;F;S/O;S/S
EAMON;M;S/O;S/S
EANWINDA;F;S/O;S/S
EARL;M;S/O;S/S
EARTHA;F;S/O;S/S
EASTER;F;S/O;S/S
EATON;M;S/O;S/S
EAVAN;A;S/O;S/S
EBAL;M;S/O;S/S
EBELE;F;S/O;S/S
EBER;F;HEBREO;LOS DEL MAS ALLA, EN LA GENEALOGIA BIBLICAPADRE DE PELEG, DEL CUAL PROCEDEN LOS ARAMEOS Y HEBREOS
EBERARDO;M;GERMANICO;AUDAZ COMO EL JABALI, FUERTE COMO ELOSO.ENTRE LOS SANTOS UN ABAD SUIZO DE EINSIEDELN (SIGLO X)
EBICIARO;M;S/O;S/S
EBON;M;S/O;S/S
EBONY;F;S/O;S/S
EBRULFO;M;S/O;S/S
ECE;F;S/O;S/S
ECHO;F;S/O;S/S
ECIAR;M;S/O;S/S
EDA;F;S/O;S/S
EDAN;M;S/O;S/S
EDANA;F;S/O;S/S
EDBERTO;M;GERMANICO;EL QUE BRILLA CON SU ESPADA.MONJE IRLANDES DEL SIGLO VIII
EDBURGA;F;ANGLOSAJON;LA PROTECCION DE LA PROPIEDAD, LA SAN-TA DE ESTE NOMBRE ES HIJA DE EDUARDO I Y REINA DE INGLATERRA
EDDA;F;ALEMAN;BISABUELA
EDDIE;A;S/O;S/S
EDDINE;M;S/O;S/S
EDELBA;F;S/O;S/S
EDELBURGA;F;ANGLOSAJON;ESTIRPE NOBLE, AMPARO DE LA NOBLEZA, HIJA DE SAN EDELBERTO (SIGLO VII)
EDELIA;F;S/O;VARIANTE DE ADELA EN SU FORMA ANGLOSAJONA ETHEL
EDELINA;F;S/O;S/S
EDELINE;F;S/O;S/S
EDELIRA;F;S/O;S/S
EDELMA;F;S/O;S/S
EDELMAR;M;S/O;S/S
EDELMIRA;F;S/O;S/S
EDELMIRO;M;GERMANICO;CELEBRE POR LA NOBLEZA QUE REPRESENTAVARIANTE DE ADELMARO, EL NOMBRE DALMIRA ES AFERESIS DE EDELMIRA
EDELTRUDA;F;ANGLOSAJON;AMADA POR SU NOBLEZA, LA DIFUSION DEESTE NOMBRE SE DEBE A LA REINA NORTHUMBRIA, FUNDADORA DEL CONVENTO DEELY
EDELVAIS;F;S/O;S/S
EDELWEISS;F;S/O;S/S
EDEN;A;S/O;S/S
EDENA;F;S/O;S/S
EDESIO;M;S/O;S/S
EDESO;M;S/O;S/S
EDGAR;M;GERMANICO;S/S
EDGARDA;F;S/O;S/S
EDGARDO;M;TEUTON;"EL QUE DEFIENDE SUS DOMINIOS CON LA LANZAVARIANTE DE EDGAR CON LA TERMINACION ""DO"" POR ATRACCION DE EDUARDO, RICARDO..."
EDIE;F;S/O;S/S
EDILBERTO;M;S/O;S/S
EDILBURGA;F;S/O;VARIANTE DE EDILBURGA
EDILIA;F;GRIEGO;ES COMO UNA ESTATUA
EDILIO;M;S/O;S/S
EDILMA;F;S/O;S/S
EDILTRUDIS;F;S/O;S/S
EDIPO;M;GRIEGO;QUE TIENE LOS PIES HINCHADOS, HIJO DE LAYOY LOCASTAY, POR TANTO, NIETO DE LABDACO
EDISON;M;S/O;S/S
EDISTIO;M;S/O;S/S
EDIT;F;S/O;S/S
EDITA;F;ANGLOSAJON;LA LUCHA POR LA RIQUEZA
EDITH;F;GODO;LA MUJER NOBLE, QUE TIENE POSESIONES, DOMINIOS
EDLYN;A;S/O;S/S
EDMEE;F;S/O;S/S
EDMUNDO;M;GERMANICO;QUE PROTEGE SU RIQUEZA
EDNA;F;HEBREO;REJUVENECIMIENTO, DELICIA COMO EDEN, VARIE-DAD FEMENINA DE EDMUNDO
EDOUARD;M;S/O;S/S
EDRIA;F;S/O;S/S
EDSEL;M;S/O;S/S
EDSON;M;S/O;S/S
EDUARDA;F;ANGLOSAJON;S/S
EDUARDO;M;ANGLOSAJON;RIQUEZA-PROPIEDAD-GUARDIAN-EL GUARDIANDE LA RIQUEZA-SAN EDUARDO, EL MARTIR (REY DE INGLATERRA EN EL SIGLO X)ESTE ES UNO DE LOS POCOS NOMBRES INGLESES CON DIFUSION INTERNACIONAL
EDURNE;F;VASCO;NIEVE, DIMINUTIVO DE NIEVES
EDUVIGES;F;GERMANICO;LA QUE LUCHA, SANTA EDUVIGES HIJA DESANTA IDA, FLORECIO EN EL SIGLO IX
EDUVIGIS;F;GERMANICO;LA QUE LUCHA, SANTA EDUVIGES, HIJA DESANTA IDA, FLORECIO EN EL SIGLO IX
EDUVINA;F;S/O;S/S
EDWARD;M;S/O;S/S
EDWARDO;M;S/O;S/S
EDWIN;M;S/O;S/S
EDWINA;F;S/O;S/S
EDYTHE;F;S/O;S/S
EFEBO;M;S/O;S/S
EFFIE;F;S/O;S/S
EFIGENIA;F;S/O;"VARIANTE DE ""IFIGENIA"""
EFISIO;M;LATINO;HABITANTE DE EFESO, CIUDAD JONIA-SAN EFISIOFUE UN SOLDADO MARTIRIZADO EN CAGLIARI (SIGLO III)
EFRAIM;M;HEBREO;S/S
EFRAIN;M;S/O;S/S
EFRAT;M;S/O;S/S
